metric_timestamp,Halle,metric_name,_value
1625482100.1984408,Spechtnest,Spechtnest.gamma.Temperatur,41.0,
1625482100.1984408,Spechtnest,Spechtnest.gamma.Strom,10.204,
1625482100.1984408,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482100.1984408,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.3,
1625482100.1984408,Aussenbereich,Aussenbereich.Luftdruck,1013.13,
1625482100.1984408,Aussenbereich,Aussenbereich.Wasserdruck,1.962,
1625482100.888639,Bieberbau,Bieberbau.alpha.Temperatur,41.29,
1625482100.888639,Bieberbau,Bieberbau.alpha.Strom,10.845,
1625482100.888639,Spechtnest,Spechtnest.beta.Temperatur,39.32,
1625482100.888639,Spechtnest,Spechtnest.beta.Strom,11.159,
1625482100.888639,Spechtnest,Spechtnest.gamma.Temperatur,41.04,
1625482100.888639,Spechtnest,Spechtnest.gamma.Strom,11.5,
1625482100.888639,Aussenbereich,Aussenbereich.Aussentemperatur,17.4,
1625482100.888639,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.8,
1625482100.888639,Aussenbereich,Aussenbereich.Luftdruck,1013.48,
1625482100.888639,Aussenbereich,Aussenbereich.Wasserdruck,28.569,
1625482101.2164237,Bieberbau,Bieberbau.alpha.Temperatur,40.5,
1625482101.2164237,Bieberbau,Bieberbau.alpha.Strom,9.753,
1625482101.2164237,Spechtnest,Spechtnest.beta.Temperatur,41.69,
1625482101.2164237,Spechtnest,Spechtnest.beta.Strom,12.135,
1625482101.2164237,Spechtnest,Spechtnest.gamma.Temperatur,42.7,
1625482101.2164237,Spechtnest,Spechtnest.gamma.Strom,10.446,
1625482101.2164237,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482101.2164237,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.9,
1625482101.2164237,Aussenbereich,Aussenbereich.Luftdruck,1011.87,
1625482101.2164237,Aussenbereich,Aussenbereich.Wasserdruck,30.235,
1625482101.9075005,Bieberbau,Bieberbau.alpha.Temperatur,42.12,
1625482101.9075005,Bieberbau,Bieberbau.alpha.Strom,12.859,
1625482101.9075005,Spechtnest,Spechtnest.beta.Temperatur,41.91,
1625482101.9075005,Spechtnest,Spechtnest.beta.Strom,9.374,
1625482101.9075005,Spechtnest,Spechtnest.gamma.Temperatur,43.99,
1625482101.9075005,Spechtnest,Spechtnest.gamma.Strom,11.563,
1625482101.9075005,Aussenbereich,Aussenbereich.Aussentemperatur,18.0,
1625482101.9075005,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,49.9,
1625482101.9075005,Aussenbereich,Aussenbereich.Luftdruck,1014.1,
1625482101.9075005,Aussenbereich,Aussenbereich.Wasserdruck,31.31,
1625482102.2210202,Bieberbau,Bieberbau.alpha.Temperatur,42.94,
1625482102.2210202,Bieberbau,Bieberbau.alpha.Strom,12.391,
1625482102.2210202,Spechtnest,Spechtnest.beta.Temperatur,42.87,
1625482102.2210202,Spechtnest,Spechtnest.beta.Strom,11.138,
1625482102.2210202,Spechtnest,Spechtnest.gamma.Temperatur,42.71,
1625482102.2210202,Spechtnest,Spechtnest.gamma.Strom,9.704,
1625482102.2210202,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482102.2210202,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.5,
1625482102.2210202,Aussenbereich,Aussenbereich.Luftdruck,1011.95,
1625482102.2210202,Aussenbereich,Aussenbereich.Wasserdruck,31.316,
1625482102.917082,Bieberbau,Bieberbau.alpha.Temperatur,40.11,
1625482102.917082,Bieberbau,Bieberbau.alpha.Strom,11.217,
1625482102.917082,Spechtnest,Spechtnest.beta.Temperatur,43.42,
1625482102.917082,Spechtnest,Spechtnest.beta.Strom,11.598,
1625482102.917082,Spechtnest,Spechtnest.gamma.Temperatur,41.26,
1625482102.917082,Spechtnest,Spechtnest.gamma.Strom,10.85,
1625482102.917082,Aussenbereich,Aussenbereich.Aussentemperatur,17.4,
1625482102.917082,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.0,
1625482102.917082,Aussenbereich,Aussenbereich.Luftdruck,1010.58,
1625482102.917082,Aussenbereich,Aussenbereich.Wasserdruck,30.185,
1625482104.4980104,Bieberbau,Bieberbau.alpha.Temperatur,39.99,
1625482104.4980104,Bieberbau,Bieberbau.alpha.Strom,10.437,
1625482104.4980104,Spechtnest,Spechtnest.beta.Temperatur,38.78,
1625482104.4980104,Spechtnest,Spechtnest.beta.Strom,11.388,
1625482104.4980104,Spechtnest,Spechtnest.gamma.Temperatur,39.21,
1625482104.4980104,Spechtnest,Spechtnest.gamma.Strom,8.938,
1625482104.4980104,Aussenbereich,Aussenbereich.Aussentemperatur,17.5,
1625482104.4980104,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.6,
1625482104.4980104,Aussenbereich,Aussenbereich.Luftdruck,1012.81,
1625482104.4980104,Aussenbereich,Aussenbereich.Wasserdruck,25.357,
1625482105.515001,Bieberbau,Bieberbau.alpha.Temperatur,41.02,
1625482105.515001,Bieberbau,Bieberbau.alpha.Strom,9.2,
1625482105.515001,Spechtnest,Spechtnest.beta.Temperatur,40.62,
1625482105.515001,Spechtnest,Spechtnest.beta.Strom,11.247,
1625482105.515001,Spechtnest,Spechtnest.gamma.Temperatur,41.0,
1625482105.515001,Spechtnest,Spechtnest.gamma.Strom,10.37,
1625482105.515001,Aussenbereich,Aussenbereich.Aussentemperatur,17.3,
1625482105.515001,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.4,
1625482105.515001,Aussenbereich,Aussenbereich.Luftdruck,1012.62,
1625482105.515001,Aussenbereich,Aussenbereich.Wasserdruck,28.464,
1625482106.528323,Bieberbau,Bieberbau.alpha.Temperatur,40.9,
1625482106.528323,Bieberbau,Bieberbau.alpha.Strom,10.867,
1625482106.528323,Spechtnest,Spechtnest.beta.Temperatur,39.6,
1625482106.528323,Spechtnest,Spechtnest.beta.Strom,11.253,
1625482106.528323,Spechtnest,Spechtnest.gamma.Temperatur,42.57,
1625482106.528323,Spechtnest,Spechtnest.gamma.Strom,12.64,
1625482106.528323,Aussenbereich,Aussenbereich.Aussentemperatur,16.9,
1625482106.528323,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.0,
1625482106.528323,Aussenbereich,Aussenbereich.Luftdruck,1011.86,
1625482106.528323,Aussenbereich,Aussenbereich.Wasserdruck,21.462,
1625482107.547895,Bieberbau,Bieberbau.alpha.Temperatur,41.83,
1625482107.547895,Bieberbau,Bieberbau.alpha.Strom,8.409,
1625482107.547895,Spechtnest,Spechtnest.beta.Temperatur,41.06,
1625482107.547895,Spechtnest,Spechtnest.beta.Strom,9.793,
1625482107.547895,Spechtnest,Spechtnest.gamma.Temperatur,43.29,
1625482107.547895,Spechtnest,Spechtnest.gamma.Strom,9.828,
1625482107.547895,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482107.547895,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.6,
1625482107.547895,Aussenbereich,Aussenbereich.Luftdruck,1011.8,
1625482107.547895,Aussenbereich,Aussenbereich.Wasserdruck,28.292,
1625482108.5563147,Bieberbau,Bieberbau.alpha.Temperatur,40.67,
1625482108.5563147,Bieberbau,Bieberbau.alpha.Strom,10.183,
1625482108.5563147,Spechtnest,Spechtnest.beta.Temperatur,43.02,
1625482108.5563147,Spechtnest,Spechtnest.beta.Strom,12.562,
1625482108.5563147,Spechtnest,Spechtnest.gamma.Temperatur,41.27,
1625482108.5563147,Spechtnest,Spechtnest.gamma.Strom,10.326,
1625482108.5563147,Aussenbereich,Aussenbereich.Aussentemperatur,17.5,
1625482108.5563147,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.4,
1625482108.5563147,Aussenbereich,Aussenbereich.Luftdruck,1012.0,
1625482108.5563147,Aussenbereich,Aussenbereich.Wasserdruck,29.089,
1625482110.166771,Bieberbau,Bieberbau.alpha.Temperatur,39.17,
1625482110.166771,Bieberbau,Bieberbau.alpha.Strom,11.294,
1625482110.166771,Spechtnest,Spechtnest.beta.Temperatur,39.36,
1625482110.166771,Spechtnest,Spechtnest.beta.Strom,10.343,
1625482110.166771,Spechtnest,Spechtnest.gamma.Temperatur,40.02,
1625482110.166771,Spechtnest,Spechtnest.gamma.Strom,10.825,
1625482110.166771,Aussenbereich,Aussenbereich.Aussentemperatur,17.6,
1625482110.166771,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.4,
1625482110.166771,Aussenbereich,Aussenbereich.Luftdruck,1011.17,
1625482110.166771,Aussenbereich,Aussenbereich.Wasserdruck,36.912,
1625482111.1719096,Bieberbau,Bieberbau.alpha.Temperatur,40.16,
1625482111.1719096,Bieberbau,Bieberbau.alpha.Strom,10.712,
1625482111.1719096,Spechtnest,Spechtnest.beta.Temperatur,41.89,
1625482111.1719096,Spechtnest,Spechtnest.beta.Strom,10.092,
1625482111.1719096,Spechtnest,Spechtnest.gamma.Temperatur,42.79,
1625482111.1719096,Spechtnest,Spechtnest.gamma.Strom,11.112,
1625482111.1719096,Aussenbereich,Aussenbereich.Aussentemperatur,17.8,
1625482111.1719096,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.2,
1625482111.1719096,Aussenbereich,Aussenbereich.Luftdruck,1010.91,
1625482111.1719096,Aussenbereich,Aussenbereich.Wasserdruck,24.377,
1625482112.1749325,Bieberbau,Bieberbau.alpha.Temperatur,41.9,
1625482112.1749325,Bieberbau,Bieberbau.alpha.Strom,11.911,
1625482112.1749325,Spechtnest,Spechtnest.beta.Temperatur,40.78,
1625482112.1749325,Spechtnest,Spechtnest.beta.Strom,9.694,
1625482112.1749325,Spechtnest,Spechtnest.gamma.Temperatur,40.65,
1625482112.1749325,Spechtnest,Spechtnest.gamma.Strom,10.574,
1625482112.1749325,Aussenbereich,Aussenbereich.Aussentemperatur,17.8,
1625482112.1749325,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.6,
1625482112.1749325,Aussenbereich,Aussenbereich.Luftdruck,1012.36,
1625482112.1749325,Aussenbereich,Aussenbereich.Wasserdruck,27.871,
1625482113.1888263,Bieberbau,Bieberbau.alpha.Temperatur,41.27,
1625482113.1888263,Bieberbau,Bieberbau.alpha.Strom,11.322,
1625482113.1888263,Spechtnest,Spechtnest.beta.Temperatur,39.61,
1625482113.1888263,Spechtnest,Spechtnest.beta.Strom,10.725,
1625482113.1888263,Spechtnest,Spechtnest.gamma.Temperatur,41.01,
1625482113.1888263,Spechtnest,Spechtnest.gamma.Strom,9.969,
1625482113.1888263,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482113.1888263,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.1,
1625482113.1888263,Aussenbereich,Aussenbereich.Luftdruck,1012.04,
1625482113.1888263,Aussenbereich,Aussenbereich.Wasserdruck,30.801,
1625482114.207078,Bieberbau,Bieberbau.alpha.Temperatur,43.0,
1625482114.207078,Bieberbau,Bieberbau.alpha.Strom,10.033,
1625482114.207078,Spechtnest,Spechtnest.beta.Temperatur,41.98,
1625482114.207078,Spechtnest,Spechtnest.beta.Strom,11.758,
1625482114.207078,Spechtnest,Spechtnest.gamma.Temperatur,41.76,
1625482114.207078,Spechtnest,Spechtnest.gamma.Strom,10.698,
1625482114.207078,Aussenbereich,Aussenbereich.Aussentemperatur,17.0,
1625482114.207078,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.4,
1625482114.207078,Aussenbereich,Aussenbereich.Luftdruck,1011.36,
1625482114.207078,Aussenbereich,Aussenbereich.Wasserdruck,28.854,
1625482555.1131964,Bieberbau,Bieberbau.alpha.Temperatur,39.7,
1625482555.1131964,Bieberbau,Bieberbau.alpha.Strom,10.278,
1625482555.1131964,Spechtnest,Spechtnest.beta.Temperatur,41.52,
1625482555.1131964,Spechtnest,Spechtnest.beta.Strom,9.395,
1625482555.1131964,Spechtnest,Spechtnest.gamma.Temperatur,40.59,
1625482555.1131964,Spechtnest,Spechtnest.gamma.Strom,11.141,
1625482555.1131964,Aussenbereich,Aussenbereich.Aussentemperatur,17.6,
1625482555.1131964,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,52.3,
1625482555.1131964,Aussenbereich,Aussenbereich.Luftdruck,1012.68,
1625482555.1131964,Aussenbereich,Aussenbereich.Wasserdruck,36.43,
1625482555.9862168,Bieberbau,Bieberbau.alpha.Temperatur,38.91,
1625482555.9862168,Bieberbau,Bieberbau.alpha.Strom,10.34,
1625482555.9862168,Spechtnest,Spechtnest.beta.Temperatur,38.7,
1625482555.9862168,Spechtnest,Spechtnest.beta.Strom,9.475,
1625482555.9862168,Spechtnest,Spechtnest.gamma.Temperatur,40.98,
1625482555.9862168,Spechtnest,Spechtnest.gamma.Strom,11.626,
1625482555.9862168,Aussenbereich,Aussenbereich.Aussentemperatur,17.6,
1625482555.9862168,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.8,
1625482555.9862168,Aussenbereich,Aussenbereich.Luftdruck,1012.19,
1625482555.9862168,Aussenbereich,Aussenbereich.Wasserdruck,22.53,
1625482556.1277251,Bieberbau,Bieberbau.alpha.Temperatur,40.65,
1625482556.1277251,Bieberbau,Bieberbau.alpha.Strom,10.085,
1625482556.1277251,Spechtnest,Spechtnest.beta.Temperatur,40.59,
1625482556.1277251,Spechtnest,Spechtnest.beta.Strom,10.611,
1625482556.1277251,Spechtnest,Spechtnest.gamma.Temperatur,40.12,
1625482556.1277251,Spechtnest,Spechtnest.gamma.Strom,11.255,
1625482556.1277251,Aussenbereich,Aussenbereich.Aussentemperatur,17.5,
1625482556.1277251,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.0,
1625482556.1277251,Aussenbereich,Aussenbereich.Luftdruck,1011.74,
1625482556.1277251,Aussenbereich,Aussenbereich.Wasserdruck,22.769,
1625482556.9919045,Bieberbau,Bieberbau.alpha.Temperatur,39.31,
1625482556.9919045,Bieberbau,Bieberbau.alpha.Strom,8.771,
1625482556.9919045,Spechtnest,Spechtnest.beta.Temperatur,41.31,
1625482556.9919045,Spechtnest,Spechtnest.beta.Strom,9.742,
1625482556.9919045,Spechtnest,Spechtnest.gamma.Temperatur,39.94,
1625482556.9919045,Spechtnest,Spechtnest.gamma.Strom,9.376,
1625482556.9919045,Aussenbereich,Aussenbereich.Aussentemperatur,17.5,
1625482556.9919045,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.2,
1625482556.9919045,Aussenbereich,Aussenbereich.Luftdruck,1011.14,
1625482556.9919045,Aussenbereich,Aussenbereich.Wasserdruck,37.601,
1625482557.1333766,Bieberbau,Bieberbau.alpha.Temperatur,41.44,
1625482557.1333766,Bieberbau,Bieberbau.alpha.Strom,9.905,
1625482557.1333766,Spechtnest,Spechtnest.beta.Temperatur,40.9,
1625482557.1333766,Spechtnest,Spechtnest.beta.Strom,9.493,
1625482557.1333766,Spechtnest,Spechtnest.gamma.Temperatur,42.49,
1625482557.1333766,Spechtnest,Spechtnest.gamma.Strom,10.656,
1625482557.1333766,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482557.1333766,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.7,
1625482557.1333766,Aussenbereich,Aussenbereich.Luftdruck,1012.03,
1625482557.1333766,Aussenbereich,Aussenbereich.Wasserdruck,36.453,
1625482557.997746,Bieberbau,Bieberbau.alpha.Temperatur,41.18,
1625482557.997746,Bieberbau,Bieberbau.alpha.Strom,11.392,
1625482557.997746,Spechtnest,Spechtnest.beta.Temperatur,41.99,
1625482557.997746,Spechtnest,Spechtnest.beta.Strom,11.002,
1625482557.997746,Spechtnest,Spechtnest.gamma.Temperatur,41.31,
1625482557.997746,Spechtnest,Spechtnest.gamma.Strom,11.063,
1625482557.997746,Aussenbereich,Aussenbereich.Aussentemperatur,17.5,
1625482557.997746,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.1,
1625482557.997746,Aussenbereich,Aussenbereich.Luftdruck,1012.13,
1625482557.997746,Aussenbereich,Aussenbereich.Wasserdruck,36.392,
1625482558.1400452,Bieberbau,Bieberbau.alpha.Temperatur,40.37,
1625482558.1400452,Bieberbau,Bieberbau.alpha.Strom,10.884,
1625482558.1400452,Spechtnest,Spechtnest.beta.Temperatur,42.66,
1625482558.1400452,Spechtnest,Spechtnest.beta.Strom,9.976,
1625482558.1400452,Spechtnest,Spechtnest.gamma.Temperatur,40.44,
1625482558.1400452,Spechtnest,Spechtnest.gamma.Strom,9.177,
1625482558.1400452,Aussenbereich,Aussenbereich.Aussentemperatur,17.6,
1625482558.1400452,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.0,
1625482558.1400452,Aussenbereich,Aussenbereich.Luftdruck,1012.78,
1625482558.1400452,Aussenbereich,Aussenbereich.Wasserdruck,29.74,
1625482559.0043812,Bieberbau,Bieberbau.alpha.Temperatur,41.59,
1625482559.0043812,Bieberbau,Bieberbau.alpha.Strom,9.015,
1625482559.0043812,Spechtnest,Spechtnest.beta.Temperatur,43.28,
1625482559.0043812,Spechtnest,Spechtnest.beta.Strom,11.62,
1625482559.0043812,Spechtnest,Spechtnest.gamma.Temperatur,42.58,
1625482559.0043812,Spechtnest,Spechtnest.gamma.Strom,9.704,
1625482559.0043812,Aussenbereich,Aussenbereich.Aussentemperatur,17.4,
1625482559.0043812,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.4,
1625482559.0043812,Aussenbereich,Aussenbereich.Luftdruck,1011.98,
1625482559.0043812,Aussenbereich,Aussenbereich.Wasserdruck,31.234,
1625482559.1470144,Bieberbau,Bieberbau.alpha.Temperatur,42.6,
1625482559.1470144,Bieberbau,Bieberbau.alpha.Strom,11.583,
1625482559.1470144,Spechtnest,Spechtnest.beta.Temperatur,42.42,
1625482559.1470144,Spechtnest,Spechtnest.beta.Strom,9.981,
1625482559.1470144,Spechtnest,Spechtnest.gamma.Temperatur,41.86,
1625482559.1470144,Spechtnest,Spechtnest.gamma.Strom,8.996,
1625482559.1470144,Aussenbereich,Aussenbereich.Aussentemperatur,17.4,
1625482559.1470144,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.2,
1625482559.1470144,Aussenbereich,Aussenbereich.Luftdruck,1011.65,
1625482559.1470144,Aussenbereich,Aussenbereich.Wasserdruck,30.47,
1625482560.0109255,Bieberbau,Bieberbau.alpha.Temperatur,102.25,
1625482560.0109255,Bieberbau,Bieberbau.alpha.Strom,10.353,
1625482560.0109255,Spechtnest,Spechtnest.beta.Temperatur,102.36,
1625482560.0109255,Spechtnest,Spechtnest.beta.Strom,12.463,
1625482560.0109255,Spechtnest,Spechtnest.gamma.Temperatur,101.82,
1625482560.0109255,Spechtnest,Spechtnest.gamma.Strom,12.31,
1625482560.0109255,Aussenbereich,Aussenbereich.Aussentemperatur,17.8,
1625482560.0109255,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.0,
1625482560.0109255,Aussenbereich,Aussenbereich.Luftdruck,1010.91,
1625482560.0109255,Aussenbereich,Aussenbereich.Wasserdruck,29.856,
1625482561.4829984,Bieberbau,Bieberbau.alpha.Temperatur,101.53999999999999,
1625482561.4829984,Bieberbau,Bieberbau.alpha.Strom,11.255,
1625482561.4829984,Spechtnest,Spechtnest.beta.Temperatur,102.25,
1625482561.4829984,Spechtnest,Spechtnest.beta.Strom,10.148,
1625482561.4829984,Spechtnest,Spechtnest.gamma.Temperatur,101.83,
1625482561.4829984,Spechtnest,Spechtnest.gamma.Strom,10.987,
1625482561.4829984,Aussenbereich,Aussenbereich.Aussentemperatur,17.4,
1625482561.4829984,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.0,
1625482561.4829984,Aussenbereich,Aussenbereich.Luftdruck,1012.68,
1625482561.4829984,Aussenbereich,Aussenbereich.Wasserdruck,35.427,
1625482562.5019877,Bieberbau,Bieberbau.alpha.Temperatur,40.76,
1625482562.5019877,Bieberbau,Bieberbau.alpha.Strom,9.934,
1625482562.5019877,Spechtnest,Spechtnest.beta.Temperatur,41.81,
1625482562.5019877,Spechtnest,Spechtnest.beta.Strom,8.881,
1625482562.5019877,Spechtnest,Spechtnest.gamma.Temperatur,42.33,
1625482562.5019877,Spechtnest,Spechtnest.gamma.Strom,9.889,
1625482562.5019877,Aussenbereich,Aussenbereich.Aussentemperatur,16.9,
1625482562.5019877,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.3,
1625482562.5019877,Aussenbereich,Aussenbereich.Luftdruck,1011.4,
1625482562.5019877,Aussenbereich,Aussenbereich.Wasserdruck,27.569,
1625482563.5210822,Bieberbau,Bieberbau.alpha.Temperatur,41.91,
1625482563.5210822,Bieberbau,Bieberbau.alpha.Strom,9.297,
1625482563.5210822,Spechtnest,Spechtnest.beta.Temperatur,41.5,
1625482563.5210822,Spechtnest,Spechtnest.beta.Strom,9.408,
1625482563.5210822,Spechtnest,Spechtnest.gamma.Temperatur,40.69,
1625482563.5210822,Spechtnest,Spechtnest.gamma.Strom,12.558,
1625482563.5210822,Aussenbereich,Aussenbereich.Aussentemperatur,17.3,
1625482563.5210822,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.5,
1625482563.5210822,Aussenbereich,Aussenbereich.Luftdruck,1012.62,
1625482563.5210822,Aussenbereich,Aussenbereich.Wasserdruck,25.53,
1625482564.5369132,Bieberbau,Bieberbau.alpha.Temperatur,42.24,
1625482564.5369132,Bieberbau,Bieberbau.alpha.Strom,10.025,
1625482564.5369132,Spechtnest,Spechtnest.beta.Temperatur,44.27,
1625482564.5369132,Spechtnest,Spechtnest.beta.Strom,9.875,
1625482564.5369132,Spechtnest,Spechtnest.gamma.Temperatur,42.14,
1625482564.5369132,Spechtnest,Spechtnest.gamma.Strom,9.457,
1625482564.5369132,Aussenbereich,Aussenbereich.Aussentemperatur,17.4,
1625482564.5369132,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.4,
1625482564.5369132,Aussenbereich,Aussenbereich.Luftdruck,1010.67,
1625482564.5369132,Aussenbereich,Aussenbereich.Wasserdruck,29.016,
1625482565.5537305,Bieberbau,Bieberbau.alpha.Temperatur,43.76,
1625482565.5537305,Bieberbau,Bieberbau.alpha.Strom,11.684,
1625482565.5537305,Spechtnest,Spechtnest.beta.Temperatur,42.35,
1625482565.5537305,Spechtnest,Spechtnest.beta.Strom,11.753,
1625482565.5537305,Spechtnest,Spechtnest.gamma.Temperatur,41.07,
1625482565.5537305,Spechtnest,Spechtnest.gamma.Strom,12.324,
1625482565.5537305,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482565.5537305,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.6,
1625482565.5537305,Aussenbereich,Aussenbereich.Luftdruck,1011.27,
1625482565.5537305,Aussenbereich,Aussenbereich.Wasserdruck,27.793,
1625482567.1957865,Bieberbau,Bieberbau.alpha.Temperatur,39.38,
1625482567.1957865,Bieberbau,Bieberbau.alpha.Strom,9.547,
1625482567.1957865,Spechtnest,Spechtnest.beta.Temperatur,39.41,
1625482567.1957865,Spechtnest,Spechtnest.beta.Strom,8.791,
1625482567.1957865,Spechtnest,Spechtnest.gamma.Temperatur,37.35,
1625482567.1957865,Spechtnest,Spechtnest.gamma.Strom,9.822,
1625482567.1957865,Aussenbereich,Aussenbereich.Aussentemperatur,17.5,
1625482567.1957865,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,50.8,
1625482567.1957865,Aussenbereich,Aussenbereich.Luftdruck,1012.43,
1625482567.1957865,Aussenbereich,Aussenbereich.Wasserdruck,16.685,
1625482568.209207,Bieberbau,Bieberbau.alpha.Temperatur,40.85,
1625482568.209207,Bieberbau,Bieberbau.alpha.Strom,9.507,
1625482568.209207,Spechtnest,Spechtnest.beta.Temperatur,40.46,
1625482568.209207,Spechtnest,Spechtnest.beta.Strom,10.042,
1625482568.209207,Spechtnest,Spechtnest.gamma.Temperatur,39.89,
1625482568.209207,Spechtnest,Spechtnest.gamma.Strom,10.046,
1625482568.209207,Aussenbereich,Aussenbereich.Aussentemperatur,17.2,
1625482568.209207,Aussenbereich,Aussenbereich.Luftfeuchtigkeit,51.8,
1625482568.209207,Aussenbereich,Aussenbereich.Luftdruck,1012.5,
1625482568.209207,Aussenbereich,Aussenbereich.Wasserdruck,34.799,
1625482569.2278888,Bieberbau,Bieberbau.alpha.Temperatur,41.13,
1625482569.2278888,Bieberbau,Bieberbau.alpha.Strom,12.174,
